Facility_ID,Company_Name,Facility_Type,Original_City,Original_State,Corrected_City,Corrected_State,Confidence,Source_URL,Notes
ITC_Plant_1,ITC Limited,Plant,Saharanpur,Karnataka,Kolar,Karnataka,High,https://en.wikipedia.org/wiki/ITC_Limited,Noodles factory
ITC_Plant_2,ITC Limited,Plant,Saharanpur,Karnataka,Kapurthala,Punjab,High,https://en.wikipedia.org/wiki/ITC_Limited,Food products facility
ITC_Plant_3,ITC Limited,Plant,Saharanpur,Karnataka,Saharanpur,Uttar Pradesh,High,https://en.wikipedia.org/wiki/ITC_Limited,Cigarette manufacturing
ITC_Plant_4,ITC Limited,Plant,Saharanpur,Karnataka,Ranjangaon,Maharashtra,High,https://en.wikipedia.org/wiki/ITC_Limited,MIDC Industrial Area
ITC_Plant_5,ITC Limited,Plant,Saharanpur,Karnataka,Kothagudem,Telangana,High,https://en.wikipedia.org/wiki/ITC_Limited,Paperboards Sarapaka
ITC_Plant_6,ITC Limited,Plant,Saharanpur,Karnataka,Coimbatore,Tamil Nadu,High,https://en.wikipedia.org/wiki/ITC_Limited,Paper/paperboard Kovai
MSWIL_Plant_1,Motherson Sumi Wiring India Limited,Plant,Noida,Karnataka,Noida,Uttar Pradesh,High,https://www.mswil.motherson.com/contact/address-directory,Sector 1 headquarters
MSWIL_Plant_2,Motherson Sumi Wiring India Limited,Plant,Noida,Karnataka,Faridabad,Haryana,High,https://www.mswil.motherson.com/contact/address-directory,Sarai Khwaja Sector 36
MSWIL_Plant_3,Motherson Sumi Wiring India Limited,Plant,Noida,Karnataka,Gurugram,Haryana,High,https://www.mswil.motherson.com/contact/address-directory,Sector 18 Industrial
MSWIL_Plant_4,Motherson Sumi Wiring India Limited,Plant,Noida,Karnataka,Pithampur,Madhya Pradesh,High,https://www.mswil.motherson.com/contact/address-directory,Sector 5 Dhar
MSWIL_Plant_5,Motherson Sumi Wiring India Limited,Plant,Noida,Karnataka,Bangalore,Karnataka,High,https://www.mswil.motherson.com/contact/address-directory,26 facilities mentioned
